time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,7,5,0,0
2026-04-09 00:00:00+00:00,19,8,0,0
2026-04-10 00:00:00+00:00,11,6,0,0
2026-04-11 00:00:00+00:00,18,6,0,0
2026-04-12 00:00:00+00:00,18,7,0,0
2026-04-13 00:00:00+00:00,15,9,0,0
2026-04-14 00:00:00+00:00,23,8,0,0
2026-04-15 00:00:00+00:00,16,6,0,0
2026-04-16 00:00:00+00:00,25,10,0,0
2026-04-17 00:00:00+00:00,21,8,0,0
2026-04-18 00:00:00+00:00,19,8,0,0
2026-04-19 00:00:00+00:00,23,11,0,0
2026-04-20 00:00:00+00:00,55,23,0,0
2026-04-21 00:00:00+00:00,54,26,0,0
